;Name;leaning;type;url;X;X.1;domain
1398;The Strategy Bridge;least;reliable;https://thestrategybridge.org;least;;thestrategybridge
1399;The Tab;Left-Center;reliable;https://thetab.com/;Left-Center;;thetab
1400;The Tyee;Left-Center;reliable;https://thetyee.ca/;Left-Center;;thetyee
1401;The Varsity;Left-Center;reliable;https://thevarsity.ca/;Left-Center;;thevarsity
1402;The Walrus;left;reliable;https://thewalrus.ca/;Left;;thewalrus
1403;Washington Pundit;extreme right;questionable;https://thewashingtonpundit.com;Extreme Right;questionable;thewashingtonpundit
1404;The West Australian;Right-Center;reliable;https://thewest.com.au/;Right-Center;;thewest
1405;The Wire – India;Left-Center;reliable;https://thewire.in/;Left-Center;;thewire
1406;Think Americana;extreme right;questionable;https://thinkamericana.com;extreme right;questionable;thinkamericana
1407;Think Progress;left;reliable;https://thinkprogress.org/;Left;;thinkprogress
1408;Thought Catalog;NA;questionable;https://thoughtcatalog.com/;NA;NA;thoughtcatalog
1409;Timeline;Left-Center;reliable;https://timeline.com;Left-Center;;timeline
1410;To Inform is to Influence;Left-Center;reliable;https://toinformistoinfluence.com/;Left-Center;;toinformistoinfluence
1411;TooFab;left;questionable;https://toofab.com/;NA;NA;toofab
1412;Townhall;Right;questionable;https://townhall.com/;Right;;townhall
1413;Treason.news;extreme right;questionable;https://treason.news/;NA;NA;treason
1414;Trending Politics;Right;questionable;https://trendingpolitics.com/;NA;NA;trendingpolitics
1415;Trigger Reset;extreme right;questionable;https://triggerreset.net;NA;NA;triggerreset
1416;Ring of Fire;left;reliable;https://trofire.com/;Left;;trofire
1417;True Pundit;Right;questionable;https://truepundit.com/;NA;NA;truepundit
1418;Trump Train News;extreme right;questionable;https://trumptrainnews.com/;NA;NA;trumptrainnews
1419;The TruthSetter;least;reliable;https://truthsetter.com;least;;truthsetter
1420;Tucson Standard;Right-Center;questionable;https://tucsonstandard.com/;NA;NA;tucsonstandard
1421;Tuscaloosa Leader;Right-Center;questionable;https://tuscaloosaleader.com/;NA;NA;tuscaloosaleader
1422;Young Turks;left;reliable;https://tytnetwork.com/;Left;;tytnetwork
1423;UAWire;Left-Center;reliable;https://uawire.org/;Left-Center;;uawire
1424;Undark;least;reliable;https://undark.org;least;;undark
1425;Unite America First;extreme right;questionable;https://uniteamericafirst.com/;NA;NA;uniteamericafirst
1426;Unity News Network;Right;reliable;https://unitynewsnetwork.co.uk;Right;;unitynewsnetwork
1427;Upper Delta News;Right-Center;questionable;https://upperdeltanews.com/;NA;NA;upperdeltanews
1428;USA is Online;extreme right;questionable;https://usaisonline.com/;NA;NA;usaisonline
1429;USAnetwork.info;extreme right;questionable;https://usanetwork.info;extreme right;questionable;usanetwork
1430;USA Really;Right;questionable;https://usareally.com;Right;questionable;usareally
1431;US Liberty Wire;extreme right;questionable;https://uslibertywire.com/;NA;NA;uslibertywire
1432;Vaccine Impact;NA;questionable;https://vaccineimpact.com/;NA;NA;vaccineimpact
1433;Vdare;extreme right;questionable;https://vdare.com/;NA;NA;vdare
1434;Verrit;left;reliable;https://verrit.com;Left;;verrit
1435;Viral Cocaine;NA;questionable;https://viralcocaine.com/;NA;NA;viralcocaine
1436;Viral Hatch;NA;questionable;https://viralhatch.com/;NA;NA;viralhatch
1437;Voice of Europe;extreme right;questionable;https://voiceofeurope.com/;extreme right;questionable;voiceofeurope
1438;VoteFraud.News;extreme right;questionable;https://votefraud.news/;NA;NA;votefraud
1439;WallBuilders;extreme right;questionable;https://wallbuilders.com;extreme right;questionable;wallbuilders
1440;West Central Alabama News;Right-Center;questionable;https://wcalabamanews.com/;NA;NA;wcalabamanews
1441;Wear Your Voice;left;reliable;https://wearyourvoicemag.com;Left;;wearyourvoicemag
1442;White House Watch;left;reliable;https://whitehousewatch.com;Left;;whitehousewatch
1443;Who.What.Why;left;reliable;https://whowhatwhy.org/;Left;;whowhatwhy
1444;Wings Over Scotland;Left-Center;reliable;https://wingsoverscotland.com;Left-Center;;wingsoverscotland
1445;Wiregrass Times;Right-Center;questionable;https://wiregrasstimes.com/;NA;NA;wiregrasstimes
1446;Woke Sloth;extreme left;questionable;https://wokesloth.com;extreme left;questionable;wokesloth
1447;World Magazine;Right;reliable;https://world.wng.org/;Right;;wng
1448;10News.one;extreme right;questionable;https://www.10news.one/;extreme right;questionable;10news
1449;12 News KPNX;least;reliable;https://www.12news.com/;NA;NA;12news
1450;24ur.com;least;reliable;https://www.24ur.com/;NA;NA;24ur
1451;38 North;least;reliable;https://www.38north.org;least;;38north
1452;3CCorp.net;extreme right;questionable;https://www.3ccorp.net/;NA;NA;3ccorp
1453;9News – KUSA;least;reliable;https://www.9news.com/;NA;NA;9news
1454;Anadolu Agency;Right;reliable;https://www.aa.com.tr/en;Right;;aa
1455;ABC News Australia;Left-Center;reliable;https://www.abc.net.au;Left-Center;;abc
1456;ABC12/WJRT-TV;least;reliable;https://www.abc12.com/;NA;NA;abc12
1457;Albuquerque Journal;Right-Center;reliable;https://www.abqjournal.com/;Right-Center;;abqjournal
1458;Against Crony Capitalism;Right-Center;reliable;https://www.ac2news.com;Right;;ac2news
1459;Accuracy in Academia (AIA);Right;reliable;https://www.academia.org;NA;NA;academia
1460;AceShowbiz;Left-Center;reliable;https://www.aceshowbiz.com/;NA;NA;aceshowbiz
1461;ACLU;Left-Center;reliable;https://www.aclu.org/;NA;NA;aclu
1462;American College of Pediatricians;Right;questionable;https://www.acpeds.org/;Right;questionable;acpeds
1463;ActionNewsJax.com;least;reliable;https://www.actionnewsjax.com/;NA;NA;actionnewsjax
1464;Alliance Defending Freedom;extreme right;questionable;https://www.adflegal.org/;extreme right;questionable;adflegal
1465;Ad Fontes Media;least;reliable;https://www.adfontesmedia.com/;NA;NA;adfontesmedia
1466;Adweek;least;reliable;https://www.adweek.com/;least;;adweek
1467;American Enterprise Institute;Right;reliable;https://www.aei.org/;Right;;aei
1468;Alliance for Justice (AFJ);left;reliable;https://www.afj.org/;Left;;afj
1469;Agence France-Presse (AFP);least;reliable;https://www.afp.com/en/home;NA;NA;afp
1470;The African Exponent;left;questionable;https://www.africanexponent.com;NA;NA;africanexponent
1471;Aftonbladet;left;reliable;https://www.aftonbladet.se;Left;;aftonbladet
1472;AgDaily;least;reliable;https://www.agdaily.com/;NA;NA;agdaily
1473;Agerpres;least;reliable;https://www.agerpres.ro/english;least;;agerpres
1474;AgWeb;least;reliable;https://www.agweb.com/;NA;NA;agweb
1475;Accuracy in Media;Right;reliable;https://www.aim.org;NA;NA;aim
1476;Air Force;least;reliable;https://www.airforcetimes.com/;NA;NA;airforcetimes
1477;Al.com (Alabama News);Right-Center;reliable;https://www.al.com/;NA;NA;al
1478;The New Arab;Left-Center;reliable;https://www.alaraby.co.uk/english;Left-Center;;alaraby
1479;American Legislative Exchange Council (ALEC);Right;reliable;https://www.alec.org;Right;;alec
1480;The Algemeiner Journal;Right-Center;reliable;https://www.algemeiner.com/;Right-Center;;algemeiner
1481;Al-Masdar News;Left-Center;reliable;https://www.almasdarnews.com;NA;NA;almasdarnews
1482;Amarillo Globe-News;least;reliable;https://www.amarillo.com;least;;amarillo
1483;American Action Forum;Right-Center;reliable;https://www.americanactionforum.org/;Right-Center;;americanactionforum
1484;American Immigration Council;Left-Center;reliable;https://www.americanimmigrationcouncil.org;Left-Center;;americanimmigrationcouncil
1485;Americans Are Pissed;extreme right;questionable;https://www.americansarepissed.com/;NA;NA;americansarepissed
1486;America’s Frontline Doctors;NA;questionable;https://www.americasfrontlinedoctors.com/;NA;NA;americasfrontlinedoctors
1487;Amnesty International;Left-Center;reliable;https://www.amnesty.org/en/;least;;amnesty
1488;American Renaissance Magazine;extreme right;questionable;https://www.amren.com;NA;NA;amren
1489;Anniston Star;Left-Center;reliable;https://www.annistonstar.com;Left-Center;;annistonstar
1490;Anonymous News;Left-Center;questionable;https://www.anonews.co/;NA;NA;anonews
1491;AOL;Left-Center;reliable;https://www.aol.com/;Left-Center;;aol
1492;APM Reports;Left-Center;reliable;https://www.apmreports.org/;Left-Center;;apmreports
1493;Apost.com;NA;questionable;https://www.apost.com/;;conspiracy-pseudoscience;apost
1494;Arkansas Times;Left-Center;reliable;https://www.arktimes.com;Left-Center;;arktimes
1495;Armstrong Economics;Right;reliable;https://www.armstrongeconomics.com;Right-Center;;armstrongeconomics
1496;ARTE;Left-Center;reliable;https://www.arte.tv/;NA;NA;arte
1497;The Austin Chronicle;left;reliable;https://www.austinchronicle.com;Left;;austinchronicle
1498;Autism Investigated;NA;questionable;https://www.autisminvestigated.com/;NA;NA;autisminvestigated
1499;AutoStraddle;left;reliable;https://www.autostraddle.com/;Left;;autostraddle
1500;AV Club;Left-Center;reliable;https://www.avclub.com/;NA;NA;avclub
1501;A Voice for Men;Right;questionable;https://www.avoiceformen.com/;Right;questionable;avoiceformen
1502;Axios;Left-Center;reliable;https://www.axios.com/;Left-Center;;axios
1503;Bare Naked Islam;extreme right;questionable;https://www.barenakedislam.com/;extreme right;questionable;barenakedislam
1504;Battle Creek Enquirer;Left-Center;reliable;https://www.battlecreekenquirer.com;Left-Center;;battlecreekenquirer
1505;Bellingcat;Left-Center;reliable;https://www.bellingcat.com/;least;;bellingcat
1506;Big News Network;least;reliable;https://www.bignewsnetwork.com;least;;bignewsnetwork
1507;Bing News;Left-Center;reliable;https://www.bing.com/news;Left-Center;;bing
1508;BitChute;extreme right;questionable;https://www.bitchute.com/;NA;NA;bitchute
1509;Blacknews.com;left;questionable;https://www.blacknews.com/;NA;NA;blacknews
1510;Bloomberg;Left-Center;reliable;https://www.bloomberg.com/;Left-Center;;bloomberg
1511;Blue Dot Daily;extreme left;questionable;https://www.bluedotdaily.com;extreme left;questionable;bluedotdaily
1512;Belleville News-Democrat;least;reliable;https://www.bnd.com/;least;;bnd
1513;Boston Globe;Left-Center;reliable;https://www.bostonglobe.com/;Left-Center;;bostonglobe
1514;Breaking Christian News;extreme right;questionable;https://www.breakingchristiannews.com/;NA;NA;breakingchristiannews
1515;Breitbart;extreme right;questionable;https://www.breitbart.com/;extreme right;questionable;breitbart
1516;Brennan Center for Justice;Left-Center;reliable;https://www.brennancenter.org/;Left-Center;;brennancenter
1517;Britain First;extreme right;questionable;https://www.britainfirst.org/;NA;NA;britainfirst
1518;BusinessLIVE;Right-Center;reliable;https://www.businesslive.co.za;Right-Center;;businesslive
1519;Bustle Magazine;Left-Center;reliable;https://www.bustle.com/;Left-Center;;bustle
1520;Buzzfeed;Left-Center;reliable;https://www.buzzfeednews.com/;Left-Center;;buzzfeednews
1521;Council for American-Islamic Relations (CAIR);Right-Center;questionable;https://www.cair.com/;NA;NA;cair
1522;Caixin Global;Right-Center;questionable;https://www.caixinglobal.com/;NA;NA;caixinglobal
1523;Campus Reform;Right;reliable;https://www.campusreform.org;Right;;campusreform
1524;Care2;left;reliable;https://www.care2.com;Left;;care2
1525;Caribbean Life News;Left-Center;reliable;https://www.caribbeanlifenews.com/;Left-Center;;caribbeanlifenews
1526;Cato Institute;Right-Center;reliable;https://www.cato.org/;Right-Center;;cato
1527;Congressional Budget Office (CBO);least;reliable;https://www.cbo.gov/;least;;cbo
1528;Committee for a Constructive Tomorrow (CFACT);NA;questionable;https://www.cfact.org;NA;NA;cfact
1529;Change.org;left;reliable;https://www.change.org/;Left;;change
1530;Checkpoint Asia;Right;questionable;https://www.checkpointasia.net;Right;questionable;checkpointasia
1531;Today Breaking News;extreme right;questionable;https://www.chicagodaily.pro;Extreme Right;questionable;chicagodaily
1532;Church Militant;extreme right;questionable;https://www.churchmilitant.com/;extreme right;questionable;churchmilitant
1533;Center for International Policy;Left-Center;reliable;https://www.ciponline.org/;Left-Center;;ciponline
1534;Citizen Free Press;Right;reliable;https://www.citizenfreepress.com;Right;;citizenfreepress
1535;Citizens for Responsibility and Ethics in Washington (CREW);Left-Center;reliable;https://www.citizensforethics.org;Left-Center;;citizensforethics
1536;The Climate Reality Project;left;reliable;https://www.climaterealityproject.org/;Left;;climaterealityproject
1537;International Climate Science Coalition;NA;questionable;https://www.climatescienceinternational.org;;conspiracy-pseudoscience;climatescienceinternational
1538;Commentary Magazine;Right;reliable;https://www.commentarymagazine.com/;Right;;commentarymagazine
1539;Common Dreams;left;reliable;https://www.commondreams.org/;Left;;commondreams
1540;Commonweal Magazine;Left-Center;reliable;https://www.commonwealmagazine.org;Left-Center;;commonwealmagazine
1541;Congress.gov;least;reliable;https://www.congress.gov/;least;;congress
1542;Conservative Institute;Right;reliable;https://www.conservativeinstitute.org;Right;;conservativeinstitute
1543;Conservative Review;Right;reliable;https://www.conservativereview.com/;Right;;conservativereview
1544;The Conservative Woman;Right;reliable;https://www.conservativewoman.co.uk;Right;;conservativewoman
1545;Consumer Reports;least;reliable;https://www.consumerreports.org;least;;consumerreports
1546;Countable News;least;reliable;https://www.countable.us;least;;countable
1547;Courthouse News Service;least;reliable;https://www.courthousenews.com;least;;courthousenews
1548;CP24;least;reliable;https://www.cp24.com/;least;;cp24
1549;Committee to Protect Journalists;least;reliable;https://www.cpj.org/;least;;cpj
1550;International Crisis Group;Left-Center;reliable;https://www.crisisgroup.org/;Left-Center;;crisisgroup
1551;Daily Camera;least;reliable;https://www.dailycamera.com;least;;dailycamera
1552;Daily Mail;Right;questionable;https://www.dailymail.co.uk;Right;questionable;dailymail
1553;Dawn;Left-Center;reliable;https://www.dawn.com/;Left-Center;;dawn
1554;Dayton Daily News;least;reliable;https://www.daytondailynews.com;least;;daytondailynews
1555;DCReport.org;Left-Center;reliable;https://www.dcreport.org/;Left-Center;;dcreport
1556;DEBKAfile;Right;questionable;https://www.debka.com;Right;questionable;debka
1557;Deccan Chronicle;Right-Center;reliable;https://www.deccanchronicle.com/;Right-Center;;deccanchronicle
1558;The Defcon Warning System;least;reliable;https://www.defconwarningsystem.com;least;;defconwarningsystem
1559;Defend Europa;extreme right;questionable;https://www.defendevropa.org;extreme right;questionable;defendevropa
1560;Defense News;least;reliable;https://www.defensenews.com;least;;defensenews
1561;Detroit News;Right-Center;reliable;https://www.detroitnews.com/;Right-Center;;detroitnews
1562;Dissent Magazine;left;reliable;https://www.dissentmagazine.org/;Left;;dissentmagazine
1563;DoctorOz.com (Dr. Oz);NA;questionable;https://www.doctoroz.com/;NA;NA;doctoroz
1564;Downsizing the Federal Government;Right-Center;reliable;https://www.downsizinggovernment.org;Right-Center;;downsizinggovernment
1565;Duluth News Tribune;least;reliable;https://www.duluthnewstribune.com;Right-Center;;duluthnewstribune
1566;Ecology News;Right;questionable;https://www.ecology.news/;NA;NA;ecology
1567;Economics.Help;Left-Center;reliable;https://www.economicshelp.org;Left-Center;;economicshelp
1568;The Economist;least;reliable;https://www.economist.com/;least;;economist
1569;Electronic Frontier Foundation;Left-Center;reliable;https://www.eff.org/;Left-Center;;eff
1570;Electoral-Vote.com;left;reliable;https://www.electoral-vote.com;Left;;electoral-vote
1571;Empty Wheel;Left-Center;reliable;https://www.emptywheel.net/;Left-Center;;emptywheel
1572;Engadget;Left-Center;reliable;https://www.engadget.com/;Left-Center;;engadget
1573;Every CRS Report;least;reliable;https://www.everycrsreport.com/;least;;everycrsreport
1574;Evil.News;extreme right;questionable;https://www.evil.news/;Extreme Right;questionable;evil
1575;Environmental Working Group (EWG);NA;questionable;https://www.ewg.org/;NA;NA;ewg
1576;Exposing the Truth;Left-Center;reliable;https://www.exposingtruth.com/;Left-Center;;exposingtruth
1577;Fair Observer;least;reliable;https://www.fairobserver.com;least;;fairobserver
1578;Fast Company;Left-Center;reliable;https://www.fastcompany.com/;Left-Center;;fastcompany
1579;Femalista;extreme left;questionable;https://www.femalista.com/;NA;NA;femalista
1580;Frontiers of Freedom;Right;reliable;https://www.ff.org;Right;;ff
1581;Fifth Estate;left;reliable;https://www.fifthestate.org/;Left;;fifthestate
1582;Fight for the Future;Left-Center;reliable;https://www.fightforthefuture.org;Left-Center;;fightforthefuture
1583;First Things Magazine;Right;reliable;https://www.firstthings.com;Right;;firstthings
1584;FitsNews;Right-Center;reliable;https://www.fitsnews.com/;Right-Center;;fitsnews
1585;National Institute on Money in State Politics;least;reliable;https://www.followthemoney.org/;least;;followthemoney
1586;Food and Water Watch;left;reliable;https://www.foodandwaterwatch.org;Left;;foodandwaterwatch
1587;Foreign Affairs;least;reliable;https://www.foreignaffairs.com/;least;;foreignaffairs
1588;Foreign Policy Journal;left;reliable;https://www.foreignpolicyjournal.com;Left;;foreignpolicyjournal
1589;Fox News;Right;reliable;https://www.foxnews.com/;Right;;foxnews
1590;Fraser Institute;Right-Center;reliable;https://www.fraserinstitute.org/;Right-Center;;fraserinstitute
1591;FreedomProject Media;extreme right;questionable;https://www.freedomproject.com/;NA;NA;freedomproject
1592;FrontPage Magazine;extreme right;questionable;https://www.frontpagemag.com/;NA;NA;frontpagemag
1593;Financial Times;least;reliable;https://www.ft.com/;least;;ft
1594;Fort Worth Weekly;Left-Center;reliable;https://www.fwweekly.com/;Left-Center;;fwweekly
1595;Gaia;NA;questionable;https://www.gaia.com/;NA;NA;gaia
1596;Gatestone Institute;extreme right;questionable;https://www.gatestoneinstitute.org/;Right;;gatestoneinstitute
1597;Gay Star News;Left-Center;reliable;https://www.gaystarnews.com/;Left-Center;;gaystarnews
1598;Get Religion;Right;reliable;https://www.getreligion.org/;Right;;getreligion
1599;Global Citizen;Left-Center;reliable;https://www.globalcitizen.org/en/;Left-Center;;globalcitizen
1600;Global Slavery Index;least;reliable;https://www.globalslaveryindex.org;least;;globalslaveryindex
1601;Good Magazine;left;reliable;https://www.good.is/;Left;;good
1602;Republican National Committee (RNC);Right;questionable;https://www.gop.com/;NA;NA;gop
1603;Gop.gov House Republicans;Right;questionable;https://www.gop.gov;NA;NA;gop
1604;GovTrack;least;reliable;https://www.govtrack.us/;least;;govtrack
1605;Great Falls Tribune;least;reliable;https://www.greatfallstribune.com;least;;greatfallstribune
1606;Green Bay Press-Gazette;least;reliable;https://www.greenbaypressgazette.com;least;;greenbaypressgazette
1607;Green Left Weekly;left;reliable;https://www.greenleft.org.au;Left;;greenleft
1608;GreenMedInfo;NA;questionable;https://www.greenmedinfo.com/;NA;NA;greenmedinfo
1609;Greentech Media;Left-Center;reliable;https://www.greentechmedia.com/;Left-Center;;greentechmedia
1610;Greenville News;least;reliable;https://www.greenvilleonline.com/;least;;greenvilleonline
1611;Grunge.com;NA;questionable;https://www.grunge.com/;NA;NA;grunge
1612;Pacific Daily News;least;reliable;https://www.guampdn.com/;least;;guampdn
1613;Gucmakale.com;extreme left;questionable;https://www.gucmakale.com/;NA;NA;gucmakale
1614;Guns.com;Right-Center;reliable;https://www.guns.com/;Right-Center;;guns
1615;Gun Violence Archive;Left-Center;reliable;https://www.gunviolencearchive.org;Left-Center;;gunviolencearchive
1616;Alan Guttmacher Institute;Left-Center;reliable;https://www.guttmacher.org/;Left-Center;;guttmacher
1617;Haaretz;left;reliable;https://www.haaretz.com/;Left;;haaretz
1618;High Country News;Left-Center;reliable;https://www.hcn.org;Left-Center;;hcn
1619;Healthy and Natural World;NA;questionable;https://www.healthyandnaturalworld.com/;NA;NA;healthyandnaturalworld
1620;HealthyWay;Left-Center;reliable;https://www.healthyway.com;Left-Center;;healthyway
1621;Heartland Institute;Right;questionable;https://www.heartland.org/;Right;questionable;heartland
1622;HermanCain.com;Right;reliable;https://www.hermancain.com/;Right;;hermancain
1623;Houston Chronicle;Left-Center;reliable;https://www.houstonchronicle.com/;Left-Center;;houstonchronicle
1624;Human Rights Watch;Left-Center;reliable;https://www.hrw.org/;Left-Center;;hrw
1625;Humanium;Left-Center;reliable;https://www.humanium.org;Left-Center;;humanium
1626;International Consortium of Investigative Journalists;least;reliable;https://www.icij.org/;least;;icij
1627;Institute for Creation Research;NA;questionable;https://www.icr.org/homepage/;;conspiracy-pseudoscience;icr
1628;International Energy Agency;least;reliable;https://www.iea.org/;least;;iea
1629;I Hate the Media;extreme right;questionable;https://www.ihatethemedia.com;extreme right;questionable;ihatethemedia
1630;Illinois Policy Institute;Right;reliable;https://www.illinoispolicy.org/;Right;;illinoispolicy
1631;iMediaEthics;least;reliable;https://www.imediaethics.org;least;;imediaethics
1632;Inequality Media;left;reliable;https://www.inequalitymedia.org/;Left;;inequalitymedia
1633;Influence Watch;Right;reliable;https://www.influencewatch.org;Right;;influencewatch
1634;Philippine Daily Inquirer;Left-Center;reliable;https://www.inquirer.net/;Left-Center;;inquirer
1635;Inside Edition;Left-Center;reliable;https://www.insideedition.com;Left-Center;;insideedition
1636;Inside Higher Ed;Left-Center;reliable;https://www.insidehighered.com/;Left-Center;;insidehighered
1637;Inside Philanthropy;Left-Center;reliable;https://www.insidephilanthropy.com;Left-Center;;insidephilanthropy
1638;Inverse;Left-Center;reliable;https://www.inverse.com;Left-Center;;inverse
1639;Investigative Reporters and Editors;least;reliable;https://www.ire.org/;least;;ire
1640;Jackson Sun;least;reliable;https://www.jacksonsun.com;least;;jacksonsun
1641;Jacobin;left;reliable;https://www.jacobinmag.com/;Left;;jacobinmag
1642;Japan Times;least;reliable;https://www.japantimes.co.jp/;least;;japantimes
1643;Japan Today;Left-Center;reliable;https://www.japantoday.com/;Right-Center;;japantoday
1644;Jewish Policy Center;Right;reliable;https://www.jewishpolicycenter.org/;Right;;jewishpolicycenter
1645;Informed Comment (Juan Cole);left;reliable;https://www.juancole.com;Left;;juancole
1646;Just Security;Left-Center;reliable;https://www.justsecurity.org/;least;;justsecurity
1647;Just the Facts;Right;questionable;https://www.justthefacts.org;Right;questionable;justthefacts
1648;Lancaster Courier;extreme left;questionable;https://www.lancastercourier.com/;NA;NA;lancastercourier
1649;Lawfare Blog;least;reliable;https://www.lawfareblog.com/;Left-Center;;lawfareblog
1650;LeftScoop;left;reliable;https://www.leftscoop.com/;Left;;leftscoop
1651;Lew Rockwell;extreme right;questionable;https://www.lewrockwell.com/;extreme right;questionable;lewrockwell
1652;Liberal Examiner;left;reliable;https://www.liberalexaminer.com/;Left;;liberalexaminer
1653;Liberation News;left;reliable;https://www.liberationnews.org/;Left;;liberationnews
1654;Libertarianism.org;Right-Center;reliable;https://www.libertarianism.org;Right-Center;;libertarianism
1655;Liberty Nation;Right;reliable;https://www.libertynation.com;Right;;libertynation
1656;Louder with Crowder;Right;reliable;https://www.louderwithcrowder.com;Right;;louderwithcrowder
1657;Lucianne.com;Right;questionable;https://www.lucianne.com;Right;questionable;lucianne
1658;MakeUseOf;least;reliable;https://www.makeuseof.com/;least;;makeuseof
1659;Malaysiakini;Left-Center;reliable;https://www.malaysiakini.com/;Left-Center;;malaysiakini
1660;Manila Times;Right-Center;reliable;https://www.manilatimes.net;Right-Center;;manilatimes
1661;In Defence of Marxism;left;reliable;https://www.marxist.com/;Left;;marxist
1662;Media Circus;Right;reliable;https://www.mediacircus.com/;Right;;mediacircus
1663;Mediaite;left;reliable;https://www.mediaite.com/;Left;;mediaite
1664;Media Matters;left;reliable;https://www.mediamatters.org;Left;;mediamatters
1665;Medical Medium;NA;questionable;https://www.medicalmedium.com/;NA;NA;medicalmedium
1666;Middle East Forum;extreme right;questionable;https://www.meforum.org;NA;NA;meforum
1667;Middle East Media Research Institute (Memri);Right;questionable;https://www.memri.org/;NA;NA;memri
1668;Mercatornet;Right;reliable;https://www.mercatornet.com;Right;;mercatornet
1669;Merry Jane;left;reliable;https://www.merryjane.com/;Left;;merryjane
1670;Metabunk;Right-Center;reliable;https://www.metabunk.org/;least;;metabunk
1671;MetroWest Daily News;least;reliable;https://www.metrowestdailynews.com;least;;metrowestdailynews
1672;Middle East Monitor;left;reliable;https://www.middleeastmonitor.com/;Left;;middleeastmonitor
1673;Migration Policy Institute;Left-Center;reliable;https://www.migrationpolicy.org;Left-Center;;migrationpolicy
1674;MinnPost;Left-Center;reliable;https://www.minnpost.com;Left-Center;;minnpost
1675;Daily Mirror;Left-Center;reliable;https://www.mirror.co.uk;Left-Center;;mirror
1676;Mother Nature Network;Left-Center;reliable;https://www.mnn.com;Left-Center;;mnn
1677;The Modesto Bee;least;reliable;https://www.modbee.com/;least;;modbee
1678;Minnesota Public Radio (MPR);Left-Center;reliable;https://www.mprnews.org/;Left-Center;;mprnews
1679;MSMLies.com;Right;questionable;https://www.msmlies.com/;Right;questionable;msmlies
1680;Mountain Democrat;Left-Center;reliable;https://www.mtdemocrat.com;Left-Center;;mtdemocrat
1681;MyCentralJersey.com;Left-Center;reliable;https://www.mycentraljersey.com/;NA;NA;mycentraljersey
1682;Naples Daily News;Left-Center;reliable;https://www.naplesnews.com;Left-Center;;naplesnews
1683;The Nationalist Review;extreme right;questionable;https://www.nationalistreview.net/;NA;NA;nationalistreview
1684;National Journal;least;reliable;https://www.nationaljournal.com/;least;;nationaljournal
1685;NRL News Today;extreme right;questionable;https://www.nationalrighttolifenews.org/;NA;NA;nationalrighttolifenews
1686;Natural News;extreme right;questionable;https://www.naturalnews.com/;NA;NA;naturalnews
1687;Nature Conservancy;Left-Center;reliable;https://www.nature.org;Left-Center;;nature
1688;Civitas Institute;Right;reliable;https://www.nccivitas.org/;Right;;nccivitas
1689;NDTV;Left-Center;reliable;https://www.ndtv.com/;Left-Center;;ndtv
1690;New America Foundation;Left-Center;reliable;https://www.newamerica.org/;least;;newamerica
1691;New Europe;Left-Center;reliable;https://www.neweurope.eu/;Left-Center;;neweurope
1692;News and Guts;Left-Center;reliable;https://www.newsandgutsmedia.com/;Left-Center;;newsandgutsmedia
1693;News Break;Left-Center;questionable;https://www.newsbreak.com/;NA;NA;newsbreak
1694;News Deeply;Left-Center;reliable;https://www.newsdeeply.com;Left-Center;;newsdeeply
1695;Newsguard;least;reliable;https://www.newsguardtech.com/;least;;newsguardtech
1696;New Statesman;left;reliable;https://www.newstatesman.com;Left;;newstatesman
1697;The News-Times (Danbury);Left-Center;reliable;https://www.newstimes.com/;Left-Center;;newstimes
1698;New Yorker;left;reliable;https://www.newyorker.com/;Left;;newyorker
1699;NK News;least;reliable;https://www.nknews.org;least;;nknews
1700;No Labels;least;reliable;https://www.nolabels.org/;least;;nolabels
1701;Noozhawk;least;reliable;https://www.noozhawk.com/;least;;noozhawk
1702;Nordic Monitor;Left-Center;questionable;https://www.nordicmonitor.com/;NA;NA;nordicmonitor
1703;NPR.News;extreme right;questionable;https://www.npr.news/;NA;NA;npr
1704;Natural Resources Defense Council;left;reliable;https://www.nrdc.org/;Left-Center;;nrdc
1705;National Right to Life Committee;extreme right;questionable;https://www.nrlc.org/;NA;NA;nrlc
1706;Numbers USA;Right;reliable;https://www.numbersusa.com/;Right;;numbersusa
1707;New York Times;Left-Center;reliable;https://www.nytimes.com/;Left-Center;;nytimes
1708;Oath Keepers;extreme right;questionable;https://www.oathkeepers.org;extreme right;questionable;oathkeepers
1709;Objectivist;extreme right;questionable;https://www.objectivist.co/;NA;NA;objectivist
1710;Occupy.com;left;reliable;https://www.occupy.com;Left;;occupy
1711;OneIndia;Left-Center;reliable;https://www.oneindia.com/;Left-Center;;oneindia
1712;Ontario Proud;Right;reliable;https://www.ontarioproud.ca;Right;;ontarioproud
1713;OpEdNews (OEN);left;reliable;https://www.opednews.com/;Left;;opednews
1714;openDemocracy;Left-Center;reliable;https://www.opendemocracy.net/;Left-Center;;opendemocracy
1715;Open Doors;Right-Center;reliable;https://www.opendoorsusa.org;Right-Center;;opendoorsusa
1716;Organic Consumers Association;NA;questionable;https://www.organicconsumers.org/;NA;NA;organicconsumers
1717;Oyez Project;least;reliable;https://www.oyez.org;least;;oyez
1718;The Palm Beach Post;Left-Center;reliable;https://www.palmbeachpost.com;Left-Center;;palmbeachpost
1719;Pandemic News;Right;questionable;https://www.pandemic.news/;NA;NA;pandemic
1720;Paste Magazine;left;reliable;https://www.pastemagazine.com/;Left;;pastemagazine
1721;Patheos;least;reliable;https://www.patheos.com/;least;;patheos
